iter	Passed	Remaining
0	164	164686
1	165	82624
2	166	55349
3	167	41641
4	168	33475
5	171	28418
6	223	31652
7	224	27811
8	225	24835
9	228	22618
10	229	20629
11	230	18971
12	231	17562
13	232	16364
14	233	15312
15	234	14408
16	235	13593
17	236	12875
18	237	12247
19	238	11676
20	239	11145
21	239	10666
22	252	10724
23	253	10311
24	254	9915
25	254	9547
26	255	9208
27	256	8899
28	262	8789
29	263	8513
30	263	8250
31	264	8005
32	265	7776
33	266	7559
34	266	7354
35	267	7161
36	268	6978
37	268	6806
38	269	6640
39	270	6483
40	270	6332
41	271	6190
42	274	6099
43	275	5984
44	276	5860
45	276	5740
46	277	5625
47	277	5513
48	278	5407
49	279	5306
50	279	5207
51	280	5113
52	281	5022
53	281	4937
54	282	4853
55	283	4772
56	283	4693
57	284	4616
58	284	4543
59	285	4475
60	289	4449
61	289	4386
62	291	4341
63	292	4282
64	293	4228
65	294	4171
66	295	4114
67	296	4059
68	296	4006
69	297	3954
70	298	3903
71	299	3855
72	300	3810
73	304	3809
74	305	3769
75	306	3723
76	306	3679
77	307	3636
78	308	3594
79	309	3553
80	310	3517
81	310	3477
82	310	3435
83	311	3396
84	312	3359
85	312	3323
86	313	3288
87	313	3253
88	314	3222
89	318	3216
90	319	3187
91	320	3158
92	320	3128
93	321	3097
94	321	3067
95	322	3037
96	323	3009
97	323	2980
98	324	2952
99	325	2925
100	325	2898
101	326	2876
102	327	2856
103	328	2831
104	329	2808
105	330	2783
106	333	2786
107	334	2766
108	336	2747
109	336	2725
110	337	2702
111	338	2681
112	338	2659
113	339	2638
114	340	2618
115	340	2597
116	341	2575
117	341	2554
118	342	2535
119	343	2515
120	344	2505
121	349	2512
122	350	2496
123	350	2478
124	351	2459
125	351	2441
126	352	2422
127	353	2405
128	353	2389
129	354	2372
130	355	2355
131	355	2338
132	356	2322
133	356	2306
134	357	2291
135	358	2275
136	358	2259
137	359	2243
138	359	2228
139	360	2215
140	361	2203
141	362	2187
142	362	2172
143	363	2159
144	363	2145
145	364	2131
146	365	2118
147	365	2106
148	366	2095
149	367	2084
150	368	2074
151	369	2062
152	370	2050
153	371	2038
154	375	2049
155	376	2038
156	377	2027
157	378	2017
158	379	2005
159	379	1994
160	380	1981
161	380	1970
162	381	1958
163	382	1947
164	382	1936
165	383	1926
166	384	1916
167	385	1907
168	386	1898
169	386	1888
170	389	1889
171	390	1881
172	391	1872
173	392	1862
174	393	1852
175	393	1843
176	394	1833
177	394	1823
178	396	1818
179	397	1809
180	397	1799
181	398	1790
182	398	1780
183	399	1771
184	400	1762
185	400	1753
186	401	1744
187	401	1735
188	406	1745
189	407	1738
190	408	1730
191	409	1721
192	409	1713
193	410	1705
194	411	1696
195	411	1688
196	412	1680
197	412	1672
198	414	1666
199	414	1658
200	415	1650
201	415	1642
202	416	1634
203	416	1626
204	421	1634
205	422	1627
206	422	1619
207	423	1612
208	424	1606
209	425	1601
210	426	1594
211	427	1587
212	427	1580
213	428	1574
214	429	1566
215	429	1560
216	430	1553
217	431	1546
218	431	1539
219	432	1533
220	435	1536
221	436	1530
222	437	1523
223	438	1517
224	438	1511
225	439	1505
226	440	1499
227	440	1492
228	441	1486
229	442	1479
230	443	1476
231	444	1470
232	445	1465
233	446	1462
234	452	1473
235	453	1468
236	454	1463
237	455	1457
238	456	1452
239	457	1447
240	457	1442
241	459	1437
242	459	1432
243	460	1427
244	461	1422
245	462	1417
246	468	1426
247	472	1431
248	479	1444
249	486	1459
250	489	1459
251	494	1467
252	495	1462
253	498	1464
254	499	1459
255	500	1454
256	501	1449
257	502	1444
258	503	1439
259	504	1434
260	517	1464
261	517	1459
262	518	1453
263	519	1449
264	520	1444
265	521	1439
266	522	1434
267	523	1429
268	524	1426
269	526	1422
270	527	1420
271	528	1415
272	529	1410
273	530	1405
274	532	1404
275	533	1399
276	534	1395
277	535	1391
278	536	1387
279	537	1382
280	539	1380
281	540	1375
282	541	1370
283	548	1381
284	549	1378
285	550	1374
286	551	1370
287	552	1365
288	553	1361
289	553	1356
290	554	1351
291	555	1345
292	555	1340
293	558	1340
294	561	1340
295	562	1336
296	562	1331
297	563	1326
298	563	1321
299	564	1316
300	564	1311
301	565	1307
302	566	1302
303	567	1298
304	567	1293
305	568	1288
306	568	1284
307	569	1279
308	570	1274
309	570	1270
310	571	1265
311	572	1263
312	573	1258
313	573	1253
314	574	1249
315	575	1245
316	575	1240
317	577	1239
318	579	1236
319	580	1232
320	580	1228
321	581	1224
322	581	1219
323	582	1215
324	583	1211
325	583	1207
326	586	1208
327	588	1205
328	589	1201
329	589	1197
330	590	1193
331	590	1188
332	591	1184
333	592	1181
334	592	1176
335	593	1172
336	594	1168
337	594	1164
338	595	1161
339	596	1157
340	597	1153
341	597	1150
342	598	1146
343	603	1151
344	604	1147
345	605	1143
346	605	1139
347	606	1136
348	607	1132
349	607	1128
350	608	1125
351	609	1121
352	609	1117
353	610	1113
354	610	1110
355	611	1106
356	612	1102
357	612	1099
358	613	1095
359	617	1097
360	617	1093
361	618	1090
362	619	1086
363	619	1083
364	620	1079
365	621	1076
366	622	1072
367	622	1069
368	623	1065
369	623	1062
370	624	1058
371	625	1055
372	625	1051
373	626	1048
374	627	1045
375	627	1041
376	628	1038
377	632	1040
378	633	1037
379	634	1034
380	634	1031
381	635	1027
382	636	1025
383	637	1022
384	637	1018
385	638	1015
386	639	1012
387	639	1009
388	640	1005
389	641	1002
390	641	999
391	642	997
392	643	993
393	647	995
394	650	996
395	650	992
396	651	989
397	652	986
398	652	983
399	653	980
400	654	977
401	654	974
402	656	972
403	657	970
404	658	967
405	659	964
406	665	968
407	665	965
408	666	962
409	667	959
410	669	958
411	669	956
412	670	953
413	671	950
414	671	947
415	672	944
416	673	941
417	674	938
418	680	943
419	681	941
420	682	938
421	683	935
422	683	932
423	684	929
424	684	926
425	685	923
426	686	921
427	687	918
428	688	916
429	688	913
430	689	910
431	693	911
432	695	911
433	696	908
434	697	905
435	698	903
436	698	900
437	702	901
438	703	898
439	709	903
440	712	902
441	713	900
442	713	897
443	714	894
444	715	892
445	716	889
446	716	886
447	717	884
448	718	881
449	719	879
450	720	876
451	723	876
452	725	875
453	725	873
454	726	870
455	727	867
456	728	865
457	729	862
458	729	860
459	730	857
460	730	854
461	731	851
462	732	849
463	733	846
464	734	844
465	734	842
466	735	839
467	736	837
468	737	834
469	738	832
470	738	829
471	739	827
472	740	824
473	740	822
474	741	819
475	742	817
476	742	814
477	743	812
478	744	809
479	744	806
480	746	805
481	748	803
482	749	801
483	750	799
484	751	797
485	751	795
486	752	792
487	753	790
488	754	788
489	755	786
490	755	783
491	756	780
492	756	778
493	757	776
494	758	773
495	759	771
496	762	771
497	764	770
498	764	767
499	765	765
500	766	763
501	766	760
502	767	758
503	768	755
504	768	753
505	769	751
506	770	748
507	770	746
508	771	744
509	772	742
510	773	740
511	774	737
512	777	737
513	778	736
514	779	734
515	780	731
516	780	729
517	781	727
518	782	725
519	783	722
520	783	720
521	784	718
522	785	716
523	785	713
524	786	711
525	787	709
526	787	707
527	788	705
528	793	706
529	794	704
530	795	702
531	796	700
532	797	698
533	798	696
534	803	698
535	804	696
536	810	698
537	811	696
538	812	694
539	812	692
540	813	689
541	813	687
542	814	685
543	815	683
544	815	681
545	816	678
546	816	676
547	817	674
548	818	672
549	818	669
550	819	667
551	819	665
552	824	666
553	825	664
554	826	662
555	826	660
556	827	658
557	828	656
558	828	653
559	829	651
560	829	649
561	830	647
562	831	645
563	831	642
564	832	640
565	832	638
566	833	636
567	834	634
568	834	632
569	839	633
570	840	631
571	840	629
572	841	627
573	842	625
574	843	623
575	844	621
576	844	619
577	845	617
578	846	615
579	846	613
580	847	611
581	848	609
582	848	606
583	849	604
584	849	602
585	852	602
586	855	601
587	856	599
588	856	597
589	857	595
590	858	593
591	858	591
592	859	589
593	859	587
594	860	585
595	861	583
596	861	581
597	862	579
598	863	577
599	863	575
600	864	573
601	864	571
602	868	572
603	870	570
604	871	569
605	872	567
606	873	565
607	873	563
608	874	561
609	875	559
610	875	557
611	876	555
612	877	553
613	877	551
614	878	550
615	879	548
616	880	546
617	883	546
618	885	545
619	888	544
620	931	568
621	933	567
622	934	565
623	934	563
624	937	562
625	938	560
626	939	558
627	940	556
628	940	554
629	941	553
630	942	551
631	946	550
632	946	549
633	947	547
634	948	545
635	949	543
636	950	541
637	951	539
638	962	543
639	963	542
640	964	540
641	965	538
642	971	539
643	974	538
644	977	537
645	978	535
646	978	534
647	980	532
648	981	530
649	981	528
650	983	527
651	983	525
652	984	523
653	985	521
654	986	519
655	986	517
656	987	515
657	988	513
658	990	512
659	991	510
660	992	508
661	992	506
662	993	505
663	994	503
664	994	501
665	995	499
666	995	497
667	996	495
668	997	493
669	997	491
670	998	489
671	999	487
672	999	485
673	1000	483
674	1001	481
675	1001	480
676	1002	478
677	1006	477
678	1008	476
679	1008	474
680	1009	472
681	1010	470
682	1010	469
683	1011	467
684	1011	465
685	1012	463
686	1013	461
687	1013	459
688	1014	457
689	1014	455
690	1015	454
691	1016	452
692	1016	450
693	1017	448
694	1019	447
695	1020	445
696	1020	443
697	1021	441
698	1022	440
699	1022	438
700	1023	436
701	1024	434
702	1025	433
703	1025	431
704	1026	429
705	1027	427
706	1027	425
707	1028	424
708	1029	422
709	1029	420
710	1032	419
711	1033	417
712	1033	416
713	1035	414
714	1036	412
715	1037	411
716	1038	409
717	1039	408
718	1042	407
719	1043	405
720	1044	404
721	1049	403
722	1050	402
723	1051	400
724	1054	400
725	1055	398
726	1056	396
727	1056	394
728	1057	393
729	1057	391
730	1058	389
731	1059	387
732	1060	386
733	1063	385
734	1064	383
735	1065	382
736	1065	380
737	1066	378
738	1067	376
739	1067	375
740	1068	373
741	1069	371
742	1070	370
743	1071	368
744	1071	366
745	1072	365
746	1072	363
747	1073	361
748	1074	360
749	1074	358
750	1078	357
751	1079	355
752	1080	354
753	1081	352
754	1082	351
755	1082	349
756	1083	347
757	1084	346
758	1084	344
759	1085	342
760	1086	341
761	1086	339
762	1087	337
763	1087	336
764	1088	334
765	1089	332
766	1089	331
767	1094	330
768	1095	329
769	1096	327
770	1096	325
771	1097	324
772	1098	322
773	1098	320
774	1099	319
775	1100	317
776	1100	315
777	1101	314
778	1102	312
779	1102	311
780	1103	309
781	1103	307
782	1104	306
783	1106	304
784	1109	303
785	1110	302
786	1111	300
787	1112	299
788	1118	299
789	1119	297
790	1120	295
791	1125	295
792	1126	294
793	1127	292
794	1128	290
795	1129	289
796	1131	288
797	1133	286
798	1133	285
799	1134	283
800	1135	282
801	1139	281
802	1141	280
803	1142	278
804	1143	276
805	1143	275
806	1146	274
807	1147	272
808	1148	271
809	1148	269
810	1149	267
811	1152	266
812	1155	265
813	1156	264
814	1157	262
815	1159	261
816	1161	260
817	1161	258
818	1162	256
819	1163	255
820	1163	253
821	1164	252
822	1171	251
823	1172	250
824	1174	249
825	1175	247
826	1176	246
827	1177	244
828	1177	242
829	1178	241
830	1179	239
831	1179	238
832	1181	236
833	1183	235
834	1184	234
835	1185	232
836	1186	231
837	1200	232
838	1204	231
839	1205	229
840	1206	228
841	1207	226
842	1208	225
843	1210	223
844	1211	222
845	1213	220
846	1215	219
847	1215	217
848	1222	217
849	1222	215
850	1223	214
851	1224	212
852	1226	211
853	1227	209
854	1228	208
855	1229	206
856	1229	205
857	1230	203
858	1235	202
859	1237	201
860	1238	199
861	1239	198
862	1241	197
863	1242	195
864	1243	194
865	1243	192
866	1244	190
867	1245	189
868	1245	187
869	1246	186
870	1254	185
871	1256	184
872	1257	182
873	1258	181
874	1259	179
875	1260	178
876	1261	176
877	1261	175
878	1262	173
879	1266	172
880	1268	171
881	1269	169
882	1274	168
883	1276	167
884	1283	166
885	1284	165
886	1286	163
887	1288	162
888	1289	160
889	1290	159
890	1290	157
891	1291	156
892	1294	155
893	1296	153
894	1297	152
895	1297	150
896	1298	149
897	1298	147
898	1300	146
899	1301	144
900	1301	143
901	1302	141
902	1303	139
903	1303	138
904	1304	136
905	1304	135
906	1305	133
907	1306	132
908	1307	130
909	1308	129
910	1309	127
911	1310	126
912	1311	124
913	1311	123
914	1312	121
915	1313	120
916	1313	118
917	1314	117
918	1315	115
919	1315	114
920	1316	112
921	1316	111
922	1317	109
923	1317	108
924	1318	106
925	1318	105
926	1319	103
927	1319	102
928	1320	100
929	1325	99
930	1325	98
931	1326	96
932	1326	95
933	1327	93
934	1327	92
935	1328	90
936	1329	89
937	1329	87
938	1330	86
939	1330	84
940	1331	83
941	1331	81
942	1332	80
943	1332	79
944	1333	77
945	1333	76
946	1334	74
947	1334	73
948	1335	71
949	1338	70
950	1339	69
951	1340	67
952	1340	66
953	1341	64
954	1341	63
955	1342	61
956	1342	60
957	1343	58
958	1343	57
959	1344	56
960	1345	54
961	1345	53
962	1346	51
963	1346	50
964	1347	48
965	1347	47
966	1348	46
967	1348	44
968	1349	43
969	1349	41
970	1350	40
971	1353	38
972	1354	37
973	1355	36
974	1355	34
975	1356	33
976	1357	31
977	1358	30
978	1359	29
979	1360	27
980	1360	26
981	1361	24
982	1361	23
983	1362	22
984	1362	20
985	1363	19
986	1363	17
987	1364	16
